number,theme,bucket,repro_type,verdict,evidence_summary,repro_test_path,recommended_pass1,recommended_pass2_labels,verdict_source,notes
3471,ci-integration,A,bug,REPRODUCED-on-dev,"cumulusci/tasks/github/merge.py line 251 still emits f""Merged {compare.behind_by} commits into branch: {branch_name}"" using github3's compare.behind_by. ""behind_by"" is computed by GitHub's compare-commits API and reflects how many commits the merged commit is behind the destination tip after the comparison ref-point; for some merges (e.g. when the merge target shares an ancestor at the same ref or when GitHub's compare picks the same head), this can return 0 even though the merge POST at line 249 succeeded and shipped a real commit. git log shows the line was last touched as part of the original MergeBranch implementation; no fix has landed since the issue was filed (2022-12). Pattern reported (README/test.txt vs source-code changes) is consistent with how GitHub's compare API treats ""effectively no-op"" merges where the file content already matches downstream content via merge-base.",,keep-open,"bug,github,merge,low-priority",dev,"Fix: replace compare.behind_by with len(list(compare.commits)) or report the actual merged commit SHA returned from self.repo.merge(...). Existing test_merge.py asserts ""Merged 1 commits"" in normal cases but has no test for the behind_by=0 case.; Task 4 reverify: bug still present on origin/dev@1925a3083 (only commit touching root-cause file since v4.10.0 was ruff refactor 3d620762d)."
3479,ci-integration,A,bug,NOT-REPRODUCED-on-v4.10.0,"Reported error ""Expecting value: line 1 column 1 (char 0)"" is the bare json.JSONDecodeError. In v4.10.0 cumulusci/core/config/sfdx_org_config.py lines 38-55 wrap both nonzero return codes AND JSON parse failures from `sfdx org display --json` in SfdxOrgException with explicit ""Failed to parse json from output. Exception: ... Output: ..."" message (wrapping landed in commit 017bc49f4 on 2020-11-24, predating the 2023-01 issue, so the symptom may have come from a different code path or be a regression in the user's specific 3.71.0 environment). davidmreed's only reply (2023-02-22) correctly diagnoses the root cause as shell-expansion of the multiline GHA secret (echo ${{ secrets.DEV_AUTH_URL }} without quotes). Reporter never responded. The issue is a user CI/workflow-config problem; cci's only contribution is the wrapper message, which is already in place on v4.10.0.",,closed:not-reproducible-on-v4.10.0,"awaiting-more-details,external-config",v4.10.0,"No reporter response in 3+ years; root cause is in user's GHA workflow (unquoted multiline secret), not cci. Improved SfdxOrgException wrapping is already in v4.10.0."
3485,cli,A,bug,REPRODUCED-on-dev,cumulusci/tasks/apex/testrunner.py:803-834 still writes a single <testsuite> tag with no <?xml?> declaration and no <testsuites> wrapper; matches user-reported invalid JUnit format exactly.,,keep-open,"bug,area:apex,good-first-issue",dev,Fix is mechanical: prepend XML declaration and wrap in <testsuites>. Old issue but bug still reproducible against v4.10.0.; Task 4 reverify: bug still present on origin/dev@1925a3083 (only commit touching root-cause file since v4.10.0 was ruff refactor 3d620762d).
3492,cli,A,feature,REPRODUCED-on-dev,cumulusci/cli/flow.py:152-162 splits -o key on '__' into exactly 2 parts; passing project__custom__attr would actually error with 'too many values to unpack'. No project-level option override path exists from -o.,,keep-open,"enhancement,area:cli",dev,Feature still missing. Would need new -p / --project-option flag or smarter -o parser.; Task 4 reverify: bug still present on origin/dev@1925a3083 (only commit touching root-cause file since v4.10.0 was ruff refactor 3d620762d).
3506,cli,A,feature,REPRODUCED-on-dev,"cumulusci/core/flowrunner.py:660-672 sets when=step_config.get('when') only on the task: branch. The flow: branch at lines 674-697 never reads when from step_config, so when on a flow-call step is silently ignored.",,keep-open,"enhancement,area:flows",dev,Confirmed silent-ignore behavior the user complained about.; Task 4 reverify: bug still present on origin/dev@1925a3083 (only commit touching root-cause file since v4.10.0 was ruff refactor 3d620762d).
3518,metadata-etl,A,bug,REPRODUCED-on-v4.10.0,picklists.py:177 stores str.lower bound method (not call) so if-default check at line 214 always truthy; every entry overrides record-type default,/tmp/repro/2/tests/test_issues_bucket_a.py::test_issue_3518_picklist_record_type_default_logic_bug,keep-open,"severity:high,area:metadata-etl,type:bug",v4.10.0,Two-line fix at picklists.py:177 (call .lower()) plus rewrite assignment to avoid shadowing
3541,keychain,bug,bug,REPRODUCED-on-dev,"`BaseProjectKeychain.create_scratch_org` (base_project_keychain.py:77-79) builds `sfdx_alias = f""{project_config.project__name}__{org_name}""`. When `project__name` is None (no `project.name` in cumulusci.yml, or project not yet resolved during the eager `_load_scratch_orgs` pass invoked at keychain init, line 45), the resulting alias is the literal string ""None__dev"" \u2014 exactly matching the reporter. Repro builds a BaseProjectConfig without project.name, calls create_scratch_org, asserts alias doesn't contain literal 'None'; xfails on dev. Second test exercises the eager-load path via __init__.",/tmp/repro/16/tests/test_issue_3541.py,keep-open,"area/keychain,area/scratch-orgs,bug",dev,Issue currently labelled `cannot-reproduce` \u2014 evidence here contradicts that label. Recommend removing it. Fix: guard against None (raise CumulusCIException with clear message OR fall back to org_name). Mind the upgrade path \u2014 existing keychains may already contain `None__*` aliases needing migration.
3542,packaging,B,bug,INCONCLUSIVE-needs-2GP-CI-pipeline,github_package_data uses self.project_config.repo_commit (local SHA) verbatim; if the upstream workflow recorded version_id under a merge-commit SHA from pull_request trigger; locally checked-out PR head SHA will not match; cci-side code path unchanged on v4.10.0,,unchanged,"needs-repro,2gp",v4.10.0,Root cause is workflow-vs-local SHA mismatch. May need a docs/CI fix in cumulus-actions/standard-workflows rather than cci. Could add a fallback: search by SHA on parent commits.
3543,metadata-etl,A,feature,REPRODUCED-on-v4.10.0,DxConvertFrom in cumulusci/tasks/dx_convert_from.py only exposes extra and src_dir options; no load_sfdx_project_paths or resolve_sfdx_package_dirs,,keep-open,"severity:low,area:metadata-etl,type:enhancement",v4.10.0,Reporter offered draft PR; could be folded into multi-path support across deploy/uninstall_packaged_incremental too
3544,update-admin-profile-person-accounts-namespaced,C,e2e-config-required,INCONCLUSIVE-needs-namespaced-project,Provisioned scratch org repro-special-c-pa from orgs/person_accounts.json (PersonAccounts + Communities + ContactsToMultipleAccounts features). update_admin_profile task ran SUCCESSFULLY against this non-namespaced person_accounts org on v4.10.0. Bug condition requires BOTH PersonAccounts AND namespaced:true on the project; CumulusCI itself has no project namespace so the second condition cannot be satisfied without registering a namespace in CCIDevHub. No code fix found referencing #3544 or W-12589033 in update_profile.py / admin_profile.xml since 2023.,,needs-info,needs-namespaced-project,v4.10.0,Tracked internally as W-12589033 per davidmreed comment 2023-02-22. Discovered adjacent latent bug at cumulusci/utils/__init__.py:229 where namespaced_org=True with no project namespace raises TypeError: unsupported operand type(s) for + 'NoneType' and 'str' — distinct from #3544 but worth a separate ticket.
3549,cli,A,feature,REPRODUCED-on-v4.10.0,"cumulusci/tasks/salesforce/Deploy.py exposes test_level/specified_tests but does not capture or write JUnit/JSON test output (no junit_output option, no _write_output for tests).",,keep-open,"enhancement,area:metadata-deploy",v4.10.0,Related to #3564. Reasonable feature ask; not implemented.
3561,metadata-etl,B,bug,NOT-REPRODUCED-on-v4.10.0,"Bug was reported by yippie (who is also the PR author). Fix landed in commit 56e10665e (PR #3566, May 2024) by the original reporter. RetrieveUnpackaged._init_options now stores file content under options['package_xml_content'] and leaves the file-path option intact (RetrieveUnpackaged.py:29-31), so the second _init_options invocation in MetaDeploy no longer corrupts the path",,close-as-fixed,,v4.10.0,Suggest closing with a back-reference to PR #3566 in case the original reporter never got back to flip the issue state.
3570,cli,A,feature,REPRODUCED-on-dev,cumulusci/core/flowrunner.py supports per-step ignore_failure (StepSpec.allow_failure) but has no concept of finally:/on_error:/cleanup: steps in a flow definition. No 'always-run' or post-error step type exists.,,keep-open,"enhancement,area:flows",dev,Big design change; unlikely to ship without strong demand.; Task 4 reverify: bug still present on origin/dev@1925a3083 (only commit touching root-cause file since v4.10.0 was ruff refactor 3d620762d).
3585,metadata-etl,A,bug,REPRODUCED-on-v4.10.0,PackageXmlGenerator on .object containing unbound xsi:nil='true' raises XML parse error; no namespace shim added,/tmp/repro/2/tests/test_issues_bucket_a.py::test_issue_3585_xsi_nil_true_breaks_update_package_xml,keep-open,"severity:medium,area:metadata-etl,type:bug,sfdx-compat",v4.10.0,Fix: register xsi namespace before parsing or pre-strip xsi:nil attributes; also fixes #3692 class of issues
3587,packaging,B,feature,NOT-REPRODUCED-on-v4.10.0,PackageXmlGenerator only emits <postInstallClass>/<uninstallClass> when self.managed is truthy; no warning is logged when install_class set with managed=False; live cci task run update_package_xml --install_class X confirms silent drop,/tmp/repro/3/tests/repro_3587_update_package_xml_no_warning.py,keep-open,"enhancement,good-first-issue",v4.10.0,Feature still missing. Smallest implementation: in UpdatePackageXml._init_task; if install_class/uninstall_class set but not self.options.get('managed'); emit self.logger.warning(...).
3593,packaging,A,bug,REPRODUCED-on-dev,SFDXOrgTask._get_command in cumulusci/tasks/sfdx.py:50 unconditionally appends ' -o <username>' for ScratchOrgConfig; no opt-out option,/tmp/repro/1/tests/test_issue_3593.py,keep-open,"severity:medium,area:packaging,area:sfdx,area:dx-task,state:needs-design",dev,Repro test confirms command becomes 'sf project convert source ... -o test@example.com'; sf cli rejects -o for subcommands like 'project convert source'; suggested fix is an opt-out option or auto-detect; Task 4 reverify: bug still present on origin/dev@1925a3083 (only commit touching root-cause file since v4.10.0 was ruff refactor 3d620762d).
3600,packaging,B,feature,NOT-REPRODUCED-on-v4.10.0,cci task option processing only substitutes $project_config.<attr> via PROJECT_CONFIG_RE; YAML loader uses plain yaml.safe_load with no env-var resolver; live install_managed --version '${MY_FAKE_VERSION}' shows literal string in interactive prompt,/tmp/repro/3/tests/repro_3600_install_managed_no_env_var.py,keep-open,enhancement,v4.10.0,Feature not implemented. Scope likely larger than install_managed (would touch all task options); design decision needed: $env:VAR vs ${VAR} syntax; backwards-compat impact on literal $-strings.
3602,robotframework,feature-request,feature,REPRODUCED-on-dev,"cumulusci/robotframework/SalesforcePlaywright.py:60 open_test_browser signature is (self, size=None, useralias=None, wait=True, record_video=None) — no kwarg accepts browser options or **kwargs. cumulusci/robotframework/Salesforce.robot:103 ""Open Test Browser"" robot keyword only takes size/alias/wait/useralias. Chrome options are constructed by Get Chrome Options (Salesforce.robot:157) which hard-codes --disable-notifications with no extension hook.",cumulusci/tests/triage/test_issue_3602.py,keep-open,"enhancement,robotframework,playwright,good-second-issue",dev,"Small-medium feature: add browser_options/extra_options kwarg to both Selenium and Playwright open_test_browser implementations, forward to webdriver options / new_browser kwargs. Pytest asserts signature exposes such a hook."
3603,dependencies,A,bug,REPRODUCED-on-v4.10.0,"Source ref/tag not found leaks raw `404 [No message]` from GitHubSource.resolve() (cumulusci/core/source/github.py L126). Repo-not-found cases (1,2) and `release:` strategy fail (case 5) are already wrapped in DependencyResolutionError; ref-not-found case (3) is not, and dep strategy fall-through (case 4) names the dep but not the strategies tried.",/tmp/repro/11/tests/test_3603_404_messages.py,keep-open,"theme:dependencies,error-handling,good-first-issue",v4.10.0,"Partial repro. Cases 1,2,5 were addressed by commit 738d4a8a4 (2021); cases 3 and 4 remain."
3604,dependencies,A,feature,REPRODUCED-on-v4.10.0,No CCI task exists to write computed dependencies into `sfdx-project.json`. Confirmed via `cci task list` and grep: zero references to writing/updating sfdx-project.json. W-13504384 was filed by maintainer in 2023 but no implementation has shipped through v4.10.0.,,keep-open,"theme:dependencies,enhancement,wi-created",v4.10.0,Pure feature request; gap persists. wi-created label already present.
3605,packaging,A,feature,NOT-REPRODUCED-on-v4.10.0,PackageUpload (upload_production backing class) exposes major_version and minor_version options (cumulusci/tasks/salesforce/package_upload.py:39-46); _validate_versions handles major bump,/tmp/repro/1/tests/test_issue_3605.py,closed:fixed-by-pr-#3651,"area:packaging,area:1gp,state:resolved",v4.10.0,Implemented in commit 87b94440e (PR #3651 'Deploy Major and Minor Version option in upload_production task')
3607,cli,A,bug,INCONCLUSIVE-needs-org-with-managed-package,"Code path traced in cumulusci/tasks/apex/testrunner.py: retry_failures regex compiled at line 209-222, _is_retriable_failure (line 405) checks Message and StackTrace via re.search. Repro test at /tmp/repro/8/tests/test_3607_retry.py confirms 'UNABLE_TO_LOCK_ROW' regex DOES match the user's quoted message in pure Python. Likely user-side: wrapped exception so Message lacks the literal token, or managed-class symbol-table skip at line 448-452.",/tmp/repro/8/tests/test_3607_retry.py,closed:stale-24mo,"bug,area:apex,needs-info",v4.10.0,Code logic is correct as written. To definitively reproduce we need a managed package and an org producing the exact failure shape. 30+ months no follow-up from reporter.
3609,cli,A,bug,INCONCLUSIVE-needs-live-cli-test,"cumulusci/tasks/sfdx.py is now a thin shell wrapper around 'sf {command}' (SFDX_CLI = 'sf' in v4.x; was 'sfdx' in 3.76.0 when reported). The user's syntax 'plugins:install ...' is sfdx-style with colon; 'sf' uses 'plugins install' (space). Underlying timeout originates from the sfdx/sf CLI itself, not CCI.",,closed:stale-24mo,"bug,upstream:sf-cli",v4.10.0,"Not a CCI bug. CCI faithfully shells out. Old issue, CLI changed substantially since."
3610,apex,Fixed-on-dev,negative-test,NOT-REPRODUCED-on-dev,Fixed by PR #3681 (commit 84389d998); cumulusci/tasks/apex/testrunner.py:500-510 handles None method name; regression tests already exist on dev,,closed:pr-resolved-#3681,,dev,"Fixed by PR #3681 (commit 84389d998b4783ddd2ff062f486a2366709cac27, ""Handling exception when the Tooling API returns a test result with a null method name""). cumulusci/tasks/apex/testrunner.py lines 500-510 detect None in method_names, remove the None key, enqueue the affected class for retry, and bump counts['Retriable']. Regression tests test_run_task_None_methodname_fail / test_run_task_None_methodname_pass pass on origin/dev@1925a3083."
3612,cli,A,feature,NOT-REPRODUCED-on-v4.10.0,"Issue is about the SFDO-Tooling/cci-vscode VSCode extension repo, not CumulusCI itself. Out of scope for this repository.",,closed:not-reproducible-on-v4.10.0,"enhancement,wontfix,wrong-repo",v4.10.0,Should be filed against SFDO-Tooling/cci-vscode.
3613,metadata-etl,B,bug,REPRODUCED-on-v4.10.0,Live repro: `cci task run add_page_layout_fields --org repro-etl-b-dev -o api_names Account` -> 'Cannot find metadata file ...layouts/Account.layout' from MetadataSingleEntityTransformTask (base.py:332). Same task with correct API name format `Account-Account Layout` succeeds. Underlying functionality works; the user-visible bug is the unhelpful error when the api_name does not match the Layout file naming convention <Object>-<LayoutName>,/tmp/repro/5/tests/issue-3613/output-just-object.txt,improve-error-message,"bug,good-first-issue",v4.10.0,"Original report has no log of the exact api_names value passed; the cropped screenshot only shows 'page layouts'. Two improvements would help: (1) in _transform; if path does not exist, log the list of files actually retrieved into source_metadata_dir to help users identify naming mismatch; (2) in AddFieldsToPageLayout._init_options; warn when api_name does not contain '-'."
3615,dependencies,A,bug,NOT-REPRODUCED-on-v4.10.0,"`--resolution_strategy preproduction` is documented in cumulusci.yml as an alias for `latest_release` (which contains [tag, latest_release, unmanaged] and intentionally omits `latest_beta`). User wanted `include_beta`. Tests confirm preproduction == production == latest_release stack. Working as documented.",/tmp/repro/11/tests/test_3615_preproduction_strategy.py,closed:not-reproducible-on-v4.10.0,"theme:dependencies,docs",v4.10.0,"Naming is confusing -- ""preproduction"" sounds like ""beta-friendly"" but it isn't. Docs-improvement candidate; no code bug."
3618,cli,A,feature,REPRODUCED-on-dev,"cumulusci/cli/org.py:519-545 (org_remove) and 605-625 (org_scratch_delete) accept a single org_name argument via orgname_option_or_argument. No comma-separated list, no batch mode.",,keep-open,"enhancement,area:cli,good-first-issue",dev,Modest feature; could be implemented by accepting nargs=-1 or comma-split arg.; Task 4 reverify: bug still present on origin/dev@1925a3083 (only commit touching root-cause file since v4.10.0 was ruff refactor 3d620762d).
3619,dependencies,A,bug,REPRODUCED-on-v4.10.0,"Two-part bug confirmed. (A) `parse_pins()` raises DependencyParseError if a `dependency_pins` entry includes `password_env_name:` -- because GitHubDependencyPin only declares `github` and `tag`. (B) When a dynamic dep has `password_env_name` and a pin matches, `pin.pin()` calls GitHubTagResolver().resolve() directly, bypassing resolve_dependency()'s password-propagation logic; resulting `package_dependency.password_env_name` is None.",/tmp/repro/11/tests/test_3619_pin_password.py,keep-open,"theme:dependencies,bug",v4.10.0,Strong repro. Fix needs both (A) add password_env_name field to GitHubDependencyPin and (B) propagate it onto package_dependency in pin.pin() -- mirroring resolvers.py L644-654.
3649,bulkdata,A,feature,REPRODUCED-on-v4.10.0,"update_data.py:184 and :211 both pass api_options={} hardcoded to get_dml_operation. No task option exposes bulk job concurrency mode (Serial/Parallel). step.py BulkApiDmlOperation honors api_options[""bulk_mode""] but UpdateData never sets it. Other tasks (snowfakery, load_dataset) DO let users pick bulk_mode; update_data is the gap.",none — code-only,keep-open,"keep-open,enhancement,area:bulkdata,severity:minor,good-first-issue,v5-candidate:yes",v4.10.0,Author offered to contribute. Small fix: add bulk_mode option to UpdateData.task_options and pipe it through to api_options. Mirrors LoadData pattern.
3663,cli,A,feature,REPRODUCED-on-dev,cumulusci/core/flowrunner.py:510-516 _run_step builds the when Jinja context from only project_config and org_config. No prior-task return values are exposed to the when expression.,,keep-open,"enhancement,area:flows",dev,Would need to thread results dict (or ^^ resolver) into the when context.; Task 4 reverify: bug still present on origin/dev@1925a3083 (only commit touching root-cause file since v4.10.0 was ruff refactor 3d620762d).
3692,metadata-etl,A,bug,REPRODUCED-on-v4.10.0,digitalExperiences key absent from metadata_map.yml; PackageXmlGenerator raises MetadataParserMissingError on Enhanced LWR sites,/tmp/repro/2/tests/test_issues_bucket_a.py::test_issue_3692_digital_experiences_in_metadata_map,keep-open,"severity:medium,area:metadata-etl,type:bug",v4.10.0,Add digitalExperiences/digitalExperienceConfigs entries to metadata_map.yml; needed for Winter '24+ LWR sites
3699,bulkdata,A,feature,REPRODUCED-on-v4.10.0,"extract.py _soql_for_mapping does not append ORDER BY. mapping_parser MappingStep has no order_by/sort field. soql_filter however allows arbitrary trailing SOQL so users CAN write soql_filter: ""Name != 'X' ORDER BY CreatedDate"" — this works because append_filter_clause just concatenates after WHERE. So a workaround exists; an explicit field would be a UX win.",none — code-only,closed:stale-24mo,"closed:stale-24mo,enhancement,area:bulkdata",v4.10.0,Workaround via soql_filter ORDER BY makes this lower priority. Author hasn't followed up. Closing as stale is fine; can reopen if explicit order_by becomes a v5 ask.
3700,bulkdata,A,bug,REPRODUCED-on-v4.10.0,"mapping_parser.py:373-377 _get_required_permission_types returns (""updateable"", ""createable"") for any UPSERT. Master-detail lookup fields in Salesforce are createable but NOT updateable, so _check_field_permission rejects them, raising ""Field xxx__c does not have the correct permissions ('updateable', 'createable') for this operation."" Repro test confirms with simulated MD describe.",/tmp/repro/10/tests/test_3700_master_detail_upsert_perm.py,keep-open,"keep-open,bug,area:bulkdata,severity:major,good-first-issue,v5-candidate:yes",v4.10.0,"Real bug, applies to any upsert involving an MD child. Fix should detect master-detail fields (relationshipName + cascadeDelete) and require only createable for those, OR loosen the upsert lookup-field check to ""createable OR updateable""."
3701,bulkdata,A,feature,REPRODUCED-on-v4.10.0,"mapping_parser.py:171/190/228/241/422 special-case ""Id"" — it always represents the SF Id and goes to sf_id-typed columns. There is no mechanism to make a different field (e.g. an external-id like BCM_Unique_Id__c) act as the row primary key in the extracted SQLite. The ""Id : OtherField"" mapping the user wrote is interpreted as ""extract SF Id into column OtherField"", not ""make OtherField the primary key"".",none — code-only,closed:stale-24mo,"closed:stale-24mo,enhancement,area:bulkdata",v4.10.0,"Closely tied to #3699 (sort/diff motivation). Author hasn't followed up. Workaround: extract SF Id into a chosen column, then post-process. The deeper PK-replacement feature would touch many places."
3717,ci-integration,A,bug,INCONCLUSIVE-needs-cumulus-actions-workflow,"cumulusci/core/config/project_config.py repo_info property (lines 220-255) only auto-detects from environment when CUMULUSCI_AUTO_DETECT is set, and only handles Heroku CI (HEROKU_TEST_RUN_ID/BRANCH/COMMIT_VERSION). Repo-wide grep for ""GITHUB_REF"" / ""GITHUB_HEAD_REF"" / ""GITHUB_SHA"" / ""GITHUB_ACTIONS"" returns ZERO matches in cci source. So when run inside a GitHub Actions job the only way for repo_branch to be populated is (a) CUMULUSCI_REPO_BRANCH env var set by the workflow, or (b) git inference via current_branch(self.repo_root). On push events GHA checks out a detached HEAD, so (b) returns None. The reporter's symptom (repo_branch=None for push-triggered ci_feature, but works on workflow_dispatch where the branch ref is checked out by name) is exactly what this code path produces. The fix lives in the cumulus-actions/standard-workflows YAMLs (set CUMULUSCI_REPO_BRANCH from github.event.ref or github.head_ref before invoking cci) — not in the cci codebase. Same precedent as #3418.",,unchanged,"external-config,cumulus-actions,needs-info",v4.10.0,"Mirrors #3418 precedent (INCONCLUSIVE-needs-cumulus-actions-workflow). Could optionally be addressed inside cci by adding GitHub Actions auto-detection in repo_info (similar to Heroku block), reading GITHUB_REF/GITHUB_SHA — that would be a separate enhancement."
3721,packaging,A,feature,REPRODUCED-on-v4.10.0,create_package_version.py:184 still defaults version_name to literal 'Release'; upload_production hardcodes name: Release in cumulusci.yml:685,,keep-open,"severity:low,area:packaging,area:1gp,area:2gp",v4.10.0,muselab-d2x fork commit 7aaf348f3 implements jinja2 templating for PackageUpload; not merged upstream; would need port + design for create_package_version too
3734,packaging,B,bug,REPRODUCED-on-v4.10.0,PackageUpload._validate_versions SOQL ORDER BY ... PatchVersion DESC; ReleaseState DESC LIMIT 1 returns a Beta patch (e.g. 6.13.1 Beta) as latest; then minor_version is set to the patch's MinorVersion (13); colliding with already-Released 6.13 server-side,/tmp/repro/3/tests/repro_3734_upload_production_beta_patch.py,keep-open,bug,v4.10.0,User's own analysis in last 3 comments is correct; current 'cannot-reproduce' label is stale; should be removed. Fix candidates: filter out Beta+Patch from the latest-version query; or filter ReleaseState='Released' for minor-detection and use a separate query for Beta.
3745,packaging,B,code-review,NOT-REPRODUCED-on-v4.10.0,latest_beta resolver looks up GitHub Releases (include_beta strategy) per install_package_version.py L96-100; reporter ran create_package_version standalone without release_2gp_beta which publishes the beta tag. Working as designed; reporter accepted the explanation 2024-02-13 and indicated closure intent.,/tmp/repro/4/evidence/3745-source-and-design.txt,closed:stale-24mo,n/a,v4.10.0,"No code defect; doc-improvement opportunity. Original closed:stale-24mo proposal stands. Could optionally add closed:not-a-bug if that vocabulary exists, but stale-24mo is fine."
3746,packaging,B,code-review,REPRODUCED-on-dev,"create_package_version._get_base_version_number SOQL at L535-541 of cumulusci/tasks/create_package_version.py selects highest Package2Version with no IsDeprecated filter. The same file at L297 DOES filter IsDeprecated=FALSE for Package2 lookups, confirming the omission at L535 is asymmetric and matches the report verbatim.",/tmp/repro/4/evidence/3746-source-soql.txt,kept-open,"severity:medium,area:packaging,target:v4-patch,needs-fix-trivial",dev,Trivial 1-line fix (add 'AND IsDeprecated = false' to the SOQL WHERE clause). Currently proposed closed:stale-24mo; recommend flip to kept-open + target:v4-patch given low fix cost and clear customer impact (wrong version numbers on next package version create after a delete).; Task 4 reverify: bug still present on origin/dev@1925a3083 (only commit touching root-cause file since v4.10.0 was ruff refactor 3d620762d).
3754,cli,A,feature,REPRODUCED-on-v4.10.0,cumulusci/cli/utils.py:65-79 hardcodes 'https://pypi.org/pypi/cumulusci/json' with no env-var override or config flag. check_latest_version (line 82) cannot be disabled or redirected.,,keep-open,"enhancement,area:cli",v4.10.0,"User-suggested options (env flag to disable, custom URL) are all viable."
3758,packaging,A,bug,REPRODUCED-on-v4.10.0,push_upgrade_org flow in cumulusci/cumulusci.yml:1161-1177 still calls 'flow: config_qa' as final step; should be config_managed per bug report,/tmp/repro/1/tests/test_issue_3758.py,keep-open,"severity:medium,area:packaging,area:flows,good-first-issue",v4.10.0,Single-line YAML fix; both flows have same steps so behavior is currently equivalent but semantically wrong
3762,metadata-etl,B,bug,closed:duplicate-of-#3544,"Reporter (noahisapilot) explicitly self-identifies as duplicate of #3544 in their first comment on 2024-03-06. Both report the same root cause: update_admin_profile fails on a namespaced scratch org with PersonAccounts because the retrieved profile contains 'Account.Business_Account' record type with no namespace, but the namespace gets injected onto recordType references. The reporter's analysis even links the offending line at update_profile.py L238 (now L236 in v4.10.0)",,close-as-duplicate,,v4.10.0,Self-confirmed duplicate. No live repro performed per dup-confirm protocol. Canonical #3544 is still OPEN at v4.10.0 with a 'wi-created' label (W-12589033).
3768,bulkdata,B,bug,REPRODUCED-on-v4.10.0,"snowfakery.py architecturally creates a separate working dir per batch via shutil.copytree(template_path, data_dir) (queue_manager.py:322). _cleanup_object_tables (snowfakery.py:721) drops every non-sf_ids table from the template before it is copied to subsequent batch dirs, so just_once Account rows are gone from batch_2+. random_reference: Account in batch_2+ would resolve only against rows generated within that batch; with just_once: true, no Accounts are generated, so the random_reference cannot pick anything. The user's observed first-batch-works / later-batches-don't matches this exactly.",none — code-only,keep-open,"keep-open,bug,area:bulkdata,severity:major,v5-candidate:maybe",v4.10.0,Mixed CCI/Snowfakery responsibility. Could be fixed in CCI by preserving just_once-referenced object data (not just sf_ids) in the template carried to subsequent batches. Coordination with snowfakery dev branch likely needed.
3771,metadata-etl,A,bug,REPRODUCED-on-v4.10.0,transforms.py transform_xpath() wraps tags in *[local-name()=...] but leaves predicate inner refs (e.g. price>40) namespace-bound; PR #3772 from leboff fork not merged,/tmp/repro/2/tests/test_issues_bucket_a.py::test_issue_3771_xpath_predicate_with_xmlns_resolves,keep-open,"severity:medium,area:source-transforms,type:bug,has-pr",v4.10.0,PR #3772 from external fork rewrites approach to strip xmlns; consider rebasing or implementing reporter's suggested 'remove xmlns then re-add' approach
3773,metadata-etl,A,bug,REPRODUCED-on-v4.10.0,retrieve_profile_api.py _queries_retrieve_permissions never queries FieldPermissions table; only ObjectPermissions/SetupEntityAccess/PermissionSetTabSetting,/tmp/repro/2/tests/test_issues_bucket_a.py::test_issue_3773_retrieve_profile_queries_field_permissions,keep-open,"severity:medium,area:retrieve-profile,type:bug",v4.10.0,Architectural gap; field perms on standard objects without object perms are silently dropped; would benefit from org-side end-to-end verification but code evidence is conclusive
3849,python-modernization,Active-regression,import-only,REPRODUCED-on-dev,pyproject.toml pins selenium<4 + robotframework-seleniumlibrary<6 with no urllib3<2 cap; fresh pip resolves urllib3>=2 and breaks selenium 3.141.0,/tmp/repro/18/tests/test_issue_3849.py,keep-open,"needs:dependency-modernization,target:v5",dev,"pyproject.toml still pins selenium<4 and robotframework-seleniumlibrary<6 (lines 50, 54) with no urllib3 upper bound; requests permits urllib3<3,>=1.26 so a fresh pip install picks urllib3>=2.x. Selenium 3.141.0's connection pool uses the pre-2.0 Timeout sentinel API and breaks at Robot import. The local .venv survives only because uv.lock pins urllib3==1.26.20. The modernization (drop selenium<4 / robotframework-seleniumlibrary<6 OR add explicit urllib3<2) has not landed."
3852,cli,A,bug,REPRODUCED-on-v4.10.0,"pyproject.toml:52 still pins 'sarge' unconstrained; installed sarge 0.1.7.post1 lacks Capture.flush (verified: hasattr(sarge.Capture,'flush')==False). cumulusci/core/config/sfdx_org_config.py:212 still calls self.sfdx_info inside refresh_oauth_token, which triggers the AttributeError on Python 3.13 logging path.",,keep-open,"bug,upstream:sarge,py313",v4.10.0,"Per maintainer note in thread: cosmetic only (no functional impact), waiting on sarge 0.1.8 release. Could pin sarge to a git rev (gabrielrholl's note) but not preferred."
3854,cli,A,bug,REPRODUCED-on-v4.10.0,cumulusci/tasks/bulkdata/extract.py:371-374 still raises ConfigError 'Total mapping operations (X) do not match total non-empty rows (Y) for lookup_key' identical to user report. Validation introduced in PR #3741 / commit 2c5d0056e per swirkens' comment is still active in v4.10.0.,,keep-open,"bug,area:bulkdata,regression",v4.10.0,Workaround in thread: downgrade to 3.84.1. Real fix needed for polymorphic lookups.
3873,robotframework,feature-request,feature,REPRODUCED-on-dev,"cumulusci/robotframework/Salesforce.py and SalesforcePlaywright.py both subclass BaseLibrary (base_library.py) which imports cumulusci-internal services (CumulusCI, SalesforceAPI); the libraries cannot be used standalone without a CumulusCI project context",,keep-open,"enhancement,robotframework,scope-large",dev,Large architectural ask. No PR submitted in 16 months. Would require decoupling FakerMixin/BaseLibrary/Salesforce from cumulusci.core. No concrete API to test; tagging as feature-still-missing. Reasonable to keep open for future Copado-QForce-style refactor or close as wont-fix if scope is out-of-charter.
